,period,hour,Load Profile,price,year,scenario_price
90,3,18,988.9239608021343,1831.319605938009,2045,mid
91,3,19,1303.2199702169899,1895.1786529623428,2045,mid
92,3,20,1025.173374501591,1381.7324770494406,2045,mid
93,3,21,958.7331167374145,1180.6145219409948,2045,mid
94,3,22,931.4505758724548,1235.5816054247703,2045,mid
95,3,23,888.862674285756,1331.3453573684424,2045,mid
96,4,0,198.19690677744654,37.378375149595975,2045,mid
97,4,1,201.43403844517294,42.238383607524,2045,mid
98,4,2,189.72275907648165,32.37305741858628,2045,mid
99,4,3,144.7,25.701752676256586,2045,mid
100,4,4,181.85002587673958,13.192274535,2045,mid
101,4,5,209.96253082998328,46.25289084370206,2045,mid
102,4,6,212.68157651171654,83.87626134725359,2045,mid
103,4,7,215.50206560329462,252.9140326206796,2045,mid
104,4,8,243.42798714200228,333.0072837635508,2045,mid
105,4,9,237.7181723593086,860.8751116701975,2045,mid
106,4,10,252.01625867904258,446.1472899044014,2045,mid
107,4,11,218.50370364102417,205.1041306519768,2045,mid
108,4,12,204.4356764829025,135.99724780443742,2045,mid
109,4,13,194.03229250542464,120.89683923630814,2045,mid
110,4,14,207.41738813655536,94.50266874583976,2045,mid
111,4,15,227.44702711252125,69.69599912169866,2045,mid
112,4,16,230.37258259286722,63.70973887979576,2045,mid
113,4,17,284.51619110807445,106.56748272916292,2045,mid
114,4,18,414.60287231835446,155.47084568887482,2045,mid
115,4,19,327.0354717487431,177.8487595062254,2045,mid
116,4,20,262.73121884390093,75.64732518558012,2045,mid
117,4,21,224.36568353848511,54.275703718470965,2045,mid
118,4,22,233.7274610755921,58.65219770554806,2045,mid
119,4,23,221.31694677475622,50.71257814604399,2045,mid
120,5,0,1141.4770362290276,1804.7315771812666,2045,mid
121,5,1,1069.407574963195,1874.576635340538,2045,mid
122,5,2,1118.620999255383,1728.730636652769,2045,mid
123,5,3,1186.9708688269059,1644.5749435441098,2045,mid
124,5,4,1392.3905389600413,1345.0668482589779,2045,mid
125,5,5,1233.9781577391784,2048.939490549617,2045,mid
126,5,6,1008.7886679756996,2341.640665055644,2045,mid
127,5,7,961.6058371084663,3107.2329515891365,2045,mid
128,5,8,922.3057888944163,4378.027714390006,2045,mid
129,5,9,898.2897517048805,3285.0480493282626,2045,mid
130,5,10,838.5959982638014,2981.721831355892,2045,mid
131,5,11,748.784938604,2875.389210864006,2045,mid
132,5,12,497.2973662364918,2403.322376847083,2045,mid
133,5,13,681.697073357332,2527.866796117376,2045,mid
134,5,14,798.6459703786795,2465.751837156202,2045,mid
135,5,15,873.6593176729808,2230.3461409658307,2045,mid
136,5,16,944.2746273389336,2285.671653914592,2045,mid
137,5,17,997.608543195545,2592.546359853804,2045,mid
138,5,18,1100.4263128425284,2783.662689888759,2045,mid
139,5,19,1084.1578435570839,2677.4786492058183,2045,mid
140,5,20,1024.4996729447134,2161.4569181948145,2045,mid
141,5,21,1040.7586534758354,1933.3388828097943,2045,mid
142,5,22,1053.4047907987726,1995.6066403379452,2045,mid
143,5,23,982.7562704926922,2109.76304659409,2045,mid
144,6,0,1588.7650540355219,2151.310522335751,2045,mid
145,6,1,1865.0709377705098,2314.2550786828215,2045,mid
146,6,2,1750.8130514749434,2090.1274718074333,2045,mid
147,6,3,1918.5932054004172,2004.3509484472843,2045,mid
148,6,4,2003.7585709440605,1652.0405882755074,2045,mid
149,6,5,2076.2640404709996,2449.5496220048512,2045,mid
150,6,6,2172.116590007757,2721.701319116559,2045,mid
151,6,7,2111.21491814146,3864.434072278593,2045,mid
152,6,8,2146.770229462247,3622.5558378990218,2045,mid
153,6,9,2056.2645929860587,4325.62621274251,2045,mid
154,6,10,1987.0071240636153,3496.1515227369196,2045,mid
155,6,11,1936.5136668133598,3381.2519202782287,2045,mid
156,6,12,1973.13836074626,2902.513564823077,2045,mid
157,6,13,2037.5138655699218,3055.2086316527516,2045,mid
158,6,14,2128.0992075824165,2974.0795957962832,2045,mid
159,6,15,2367.787039512529,2661.257519719999,2045,mid
160,6,16,2212.474159891019,2812.3497648180405,2045,mid
161,6,17,2099.956511138147,3187.5698171532863,2045,mid
162,6,18,2022.4428770799418,3251.8113061405847,2045,mid
163,6,19,1957.5027913741076,3132.72396711789,2045,mid
164,6,20,1905.3753706295665,2511.854811581871,2045,mid
165,6,21,1890.4372247000974,2245.022241899133,2045,mid
166,6,22,1799.8983775837814,2381.1526504627027,2045,mid
167,6,23,1836.5429979007588,2586.090248016119,2045,mid
168,7,0,960.2901141905934,1311.7168114212118,2045,mid
169,7,1,723.8603531881116,1366.9060345188384,2045,mid
170,7,2,891.0041483962984,1238.173080866267,2045,mid
171,7,3,931.1750959082614,1158.4052492381493,2045,mid
172,7,4,1072.9738161441035,822.5006727249207,2045,mid
173,7,5,1109.3362531510916,1472.942865057711,2045,mid
174,7,6,1144.9691273862406,1786.26440225453,2045,mid
175,7,7,1122.0537856980823,2420.5345320501515,2045,mid
176,7,8,1097.396492369674,2537.318325976065,2045,mid
177,7,9,1014.8819786948096,2861.1470488170753,2045,mid
178,7,10,1034.5223227419817,2293.745061780545,2045,mid
179,7,11,997.552452413947,2197.149350582792,2045,mid
180,7,12,978.8120095831399,1889.6664986676215,2045,mid
181,7,13,1055.5542997416044,1929.5556175975205,2045,mid
182,7,14,1083.8208397342205,1839.0049290254747,2045,mid
183,7,15,1132.6147692587122,1689.573049139818,2045,mid
184,7,16,1179.229652266433,1740.012580579677,2045,mid
185,7,17,1241.589592627631,1981.4200615055254,2045,mid
186,7,18,1568.9383018792457,2051.910681593512,2045,mid
187,7,19,1341.3018613338188,2123.4230767733807,2045,mid
188,7,20,1282.3968988568806,1633.9994227288712,2045,mid
189,7,21,1209.868074750755,1417.2265533191965,2045,mid
190,7,22,1192.7506680423214,1520.4125004022942,2045,mid
191,7,23,1164.3009338735167,1575.9625109088279,2045,mid
0,0,0,1264.1199559730683,916.3032610107196,2040,low
1,0,1,1186.141628199759,877.9947442719341,2040,low
2,0,2,872.4970738151827,741.9744043723414,2040,low
3,0,3,1231.7192976290485,456.68183205284635,2040,low
4,0,4,1292.8625070235232,827.4538226006943,2040,low
5,0,5,1316.2196199032915,1048.3898255674528,2040,low
6,0,6,1352.3605462394478,1116.0708724889707,2040,low
7,0,7,1416.3656866341823,1554.595494834659,2040,low
8,0,8,1467.0314507536123,1901.8568489862348,2040,low
9,0,9,1491.4527403005993,1493.102891035456,2040,low
10,0,10,1514.8118093874762,1437.4109120416183,2040,low
11,0,11,1535.0976771063365,1398.481057234917,2040,low
12,0,12,1579.2297094821793,1276.906241866114,2040,low
13,0,13,1682.4235468886723,1363.9290186147653,2040,low
14,0,14,2082.865010693291,1332.9281742547696,2040,low
15,0,15,1826.073703513463,1306.9188005682743,2040,low
16,0,16,1736.2446730746904,1148.0177350834208,2040,low
17,0,17,1633.8959171392244,1186.051505884143,2040,low
18,0,18,1601.1724846222428,1217.6842329549522,2040,low
19,0,19,1554.0670174409356,1249.3650709691624,2040,low
20,0,20,1439.6954126144265,1083.7140677908292,2040,low
21,0,21,1391.1286587228014,1014.3754298151201,2040,low
22,0,22,1369.4441029211073,981.1583805588856,2040,low
23,0,23,1334.0582725289696,949.1396451007114,2040,low
24,1,0,333.83430848645946,52.64347073377097,2040,low
25,1,1,312.96462162377753,47.04379576960895,2040,low
26,1,2,261.9709754572686,40.55029976676078,2040,low
27,1,3,238.45470339356038,14.12382526,2040,low
28,1,4,245.84389537366815,33.17314932976233,2040,low
29,1,5,253.39012731334802,58.155490339424695,2040,low
30,1,6,228.6979030817843,84.00422361473726,2040,low
31,1,7,224.12157390695577,215.0667664196939,2040,low
32,1,8,214.9245748628312,411.0996425981331,2040,low
33,1,9,206.0462745601915,628.2404117177364,2040,low
34,1,10,210.4350795480014,355.0714225830651,2040,low
35,1,11,201.4616315051503,312.7735980880164,2040,low
36,1,12,144.7,189.70764682643906,2040,low
37,1,13,188.49567343129212,146.82242626924722,2040,low
38,1,14,195.81650684076251,130.8780381009695,2040,low
39,1,15,219.65147764595548,114.6370339914896,2040,low
40,1,16,233.20494992150742,92.87968303893058,2040,low
41,1,17,356.44991019379745,166.5174830601116,2040,low
42,1,18,689.6249646577832,279.3169313072918,2040,low
43,1,19,405.49810839054686,245.7144482993467,2040,low
44,1,20,377.97639359327854,102.67754636986572,2040,low
45,1,21,296.2407896938025,69.65192783645637,2040,low
46,1,22,271.2012300222437,76.55504454619518,2040,low
47,1,23,281.036550313806,63.57915131347979,2040,low
48,2,0,1022.7043435161471,613.8516574804895,2040,low
49,2,1,1003.5048228117394,656.9782561141886,2040,low
50,2,2,909.4851309821948,510.49976468668905,2040,low
51,2,3,863.6368529028466,351.54373192748557,2040,low
52,2,4,884.2837805623709,567.0440182422019,2040,low
53,2,5,961.5173523435219,752.6028133188477,2040,low
54,2,6,935.704733778539,912.2947739119213,2040,low
55,2,7,812.3932624645481,1177.4560404701974,2040,low
56,2,8,782.3429403854617,1252.0975251823531,2040,low
57,2,9,749.2410283692758,1678.9070960658885,2040,low
58,2,10,691.5822895992752,1132.2401483635813,2040,low
59,2,11,380.0493210596321,1100.517432252655,2040,low
60,2,12,646.3484468575475,1033.386929125261,2040,low
61,2,13,720.9706684538118,936.4115893943873,2040,low
62,2,14,839.8892438230623,881.4470551829612,2040,low
63,2,15,984.2720465864809,847.241520945488,2040,low
64,2,16,1044.0638894796123,818.5571205161007,2040,low
65,2,17,1109.6801993102902,966.9199998860694,2040,low
66,2,18,1154.1760862083809,998.6444039969883,2040,low
67,2,19,1398.8654578383362,1064.4922432178241,2040,low
68,2,20,1188.9138531311694,797.9569899821366,2040,low
69,2,21,1129.8488809080582,776.8985523959419,2040,low
70,2,22,1087.9580098099307,725.4192795676379,2040,low
71,2,23,1067.6357193777574,693.4048099325613,2040,low
72,3,0,1096.063438750279,1432.6994330433936,2040,low
73,3,1,1111.884315222305,1297.2064751447658,2040,low
74,3,2,1203.832329793047,1228.5975333890262,2040,low
75,3,3,1337.908088119203,959.8274694942762,2040,low
76,3,4,1161.7885999850444,1366.1649428339322,2040,low
77,3,5,1129.7714097134951,1485.2052457765633,2040,low
78,3,6,1081.6392941539775,1693.000472535122,2040,low
79,3,7,949.1204192908012,1964.2107215748078,2040,low
80,3,8,909.1114022716835,2310.5436414707674,2040,low
81,3,9,888.3573318250579,1877.3099840353402,2040,low
82,3,10,826.2237668421567,1842.3656799954977,2040,low
83,3,11,783.943747807058,1817.863217092608,2040,low
84,3,12,671.6643579626075,1794.5005832051115,2040,low
85,3,13,497.773864870724,1748.2596480810817,2040,low
86,3,14,734.1497313502966,1614.434904446866,2040,low
87,3,15,862.2263687440633,1714.5663657927776,2040,low
88,3,16,930.6531034752966,1586.5825482791747,2040,low
89,3,17,965.3771181150265,1658.8194143989813,2040,low
90,3,18,1031.5302253944217,1770.7723367910357,2040,low
91,3,19,1050.1839471557469,1731.9608101346978,2040,low
92,3,20,999.1559758463717,1675.2832906888339,2040,low
93,3,21,1011.4981498083686,1639.0735462681826,2040,low
94,3,22,1065.9496894747838,1556.5052840604023,2040,low
95,3,23,985.0836396548582,1522.3978051695958,2040,low
96,4,0,1289.8206049692485,1402.3050015560211,2040,low
97,4,1,1589.9350528854063,1428.9317236690476,2040,low
98,4,2,1641.8926472743485,1332.4552411907255,2040,low
99,4,3,1770.795203031345,1063.039206299498,2040,low
100,4,4,1853.2273253397475,1373.4408599051083,2040,low
101,4,5,1969.7214148793676,1478.971971699479,2040,low
102,4,6,2106.123090588173,1589.7752478850377,2040,low
103,4,7,2042.056329669509,2204.651684847677,2040,low
104,4,8,2072.4518757269493,1899.6008645649981,2040,low
105,4,9,1946.018542393109,1839.0098967029398,2040,low
106,4,10,1878.0650424750324,1801.3090816565816,2040,low
107,4,11,1823.264101053365,1713.4148105005363,2040,low
108,4,12,1902.4704378392598,1633.3467239818838,2040,low
109,4,13,1989.2216209181333,1657.4878107892453,2040,low
110,4,14,2164.7650446680836,1610.158549155979,2040,low
111,4,15,2415.3869636783493,1740.748578996274,2040,low
112,4,16,2220.6384766371825,1676.5127668391779,2040,low
113,4,17,2130.5908400539947,1693.932374446492,2040,low
114,4,18,2014.9946495773409,1768.000523442786,2040,low
115,4,19,1920.723561846128,1571.5893618360803,2040,low
116,4,20,1801.0078437241075,1550.516990590091,2040,low
117,4,21,1741.1395923128307,1505.5782858822097,2040,low
118,4,22,1707.8134034804323,1454.5650154759883,2040,low
119,4,23,1674.474743827715,1529.6580311620612,2040,low
120,5,0,560.7656049305867,343.59259748238617,2040,low
121,5,1,588.5223977031432,315.89548299150573,2040,low
122,5,2,679.3034631103072,262.39415895812067,2040,low
123,5,3,608.4431776387526,155.1416665494151,2040,low
124,5,4,548.7198769216185,290.8981078969808,2040,low
125,5,5,514.5910371756468,365.3526140423017,2040,low
126,5,6,500.5608221072247,471.2785576366078,2040,low
127,5,7,474.3178784794757,651.5561833781408,2040,low
128,5,8,444.81083318563077,792.0131723037349,2040,low
129,5,9,429.61812077964885,1009.8531368769009,2040,low
130,5,10,390.27322488287246,727.737580921717,2040,low
