,year,scenario_price,period,weight,hour,Load Profile,price
3321,2025,high,1,10.0,129,401.46410841082366,704.048836581682
3322,2025,high,1,10.0,130,364.81350562598567,538.4334600660525
3323,2025,high,1,10.0,131,307.7537043446547,565.3355552648137
3324,2025,high,1,10.0,132,323.9251456606808,476.5619486717212
3325,2025,high,1,10.0,133,301.0272642916969,437.6953221424116
3326,2025,high,1,10.0,134,382.64406885700583,432.9632342946968
3327,2025,high,1,10.0,135,498.5027510173121,405.9748613121696
3328,2025,high,1,10.0,136,519.7015316299769,393.8656387558884
3329,2025,high,1,10.0,137,545.3279689194028,460.8782146601327
3330,2025,high,1,10.0,138,614.7512268805386,492.83269219552216
3331,2025,high,1,10.0,139,657.798444277402,524.2669333320202
3332,2025,high,1,10.0,140,582.6382225861059,390.7721638045159
3333,2025,high,1,10.0,141,521.540558330934,360.2854328474905
3334,2025,high,1,10.0,142,507.2081437158651,355.1398686129472
3335,2025,high,1,10.0,143,500.27181474595034,327.49313428002915
3336,2025,high,1,10.0,144,491.95621575031754,289.4037121799979
3337,2025,high,1,10.0,145,476.03464219257364,282.25743146883264
3338,2025,high,1,10.0,146,470.81740339964057,202.59512284616756
3339,2025,high,1,10.0,147,411.6487182384076,166.8718758339597
3340,2025,high,1,10.0,148,542.8093019159178,209.4786635028503
3341,2025,high,1,10.0,149,626.4250485474846,366.86384574962307
3342,2025,high,1,10.0,150,547.5068157716238,512.6220998707511
3343,2025,high,1,10.0,151,503.36018023831866,745.6336911790324
3344,2025,high,1,10.0,152,467.1493447080574,915.4929381936117
3345,2025,high,1,10.0,153,387.33158800238056,957.3749598233088
3346,2025,high,1,10.0,154,394.78764190952245,715.0211231642127
3347,2025,high,1,10.0,155,375.0280995845634,678.253656620501
3348,2025,high,1,10.0,156,404.35257969656635,576.2412160898378
3349,2025,high,1,10.0,157,486.48910919910224,504.23062083012155
3350,2025,high,1,10.0,158,527.6972998950083,509.9677301834426
3351,2025,high,1,10.0,159,610.2236231004646,457.4364155512808
3352,2025,high,1,10.0,160,647.5038926361739,452.2762920165639
3353,2025,high,1,10.0,161,665.0845881089118,584.9474081293613
3354,2025,high,1,10.0,162,744.3626304566992,608.0778137414227
3355,2025,high,1,10.0,163,914.9323569704832,604.3570296865195
3356,2025,high,1,10.0,164,867.0476997732759,429.4457848917082
3357,2025,high,1,10.0,165,755.5567060277431,379.0877674910198
3358,2025,high,1,10.0,166,708.1118160851127,376.32137615060196
3359,2025,high,1,10.0,167,674.2597321930356,341.52243816840036
3360,2025,low,1,12.142857142857142,0,1298.5940592597044,663.3118635724907
3361,2025,low,1,12.142857142857142,1,1335.9044896044845,630.7724181532476
3362,2025,low,1,12.142857142857142,2,1342.1011116646316,449.2039896096481
3363,2025,low,1,12.142857142857142,3,1386.3462232727518,372.63333047502215
3364,2025,low,1,12.142857142857142,4,1518.6048948617172,559.926208467655
3365,2025,low,1,12.142857142857142,5,1606.0956629069672,769.7262205392291
3366,2025,low,1,12.142857142857142,6,1661.949830731988,1004.9261606258149
3367,2025,low,1,12.142857142857142,7,1753.622934262002,1313.6289678820856
3368,2025,low,1,12.142857142857142,8,1892.3396238789126,1304.9870053020288
3369,2025,low,1,12.142857142857142,9,1871.5202038554905,1277.4431778467053
3370,2025,low,1,12.142857142857142,10,1775.8877202250114,1129.9227427294854
