,TimeStep,Load Profile
6,17,375.4907540284465
6,18,409.35888654700244
6,19,394.3223709944199
6,20,367.90754585935116
6,21,351.7209087357279
6,22,343.61010352969987
6,23,358.20995259527547
7,0,572.8729992868371
7,1,574.3958361888929
7,2,591.4817864436515
7,3,565.4216903769748
7,4,542.225407014558
7,5,587.5727720336499
7,6,613.3970482126065
7,7,595.1190084406875
7,8,515.8225727212376
7,9,520.6099162893146
7,10,497.9242429380203
7,11,493.45565591309
7,12,449.59815298124556
7,13,495.0464409183872
7,14,491.3102944769263
7,15,481.5557447145452
7,16,492.61329928026004
7,17,526.4004936170136
7,18,522.4355219455193
7,19,537.2582008202539
7,20,572.6731519243625
7,21,583.6937347280195
7,22,632.7982301616323
7,23,606.006692748299
8,0,734.5714987385907
8,1,737.1355403991386
8,2,749.3102417210858
8,3,743.0060566718275
8,4,776.7362945102759
8,5,766.1253987996917
8,6,774.7168369124711
8,7,776.7672708514594
8,8,774.778789594838
8,9,773.8125275972739
8,10,713.4276477887872
8,11,690.1883972434382
8,12,736.171276875199
8,13,758.4092921345506
8,14,795.7347840239157
8,15,819.9662767239505
8,16,829.4020699431845
8,17,834.7439899421282
8,18,850.5399254721137
8,19,841.7066720507404
8,20,852.6772930137788
8,21,834.3412975067422
8,22,788.9799431722771
8,23,745.6950029339222
9,0,1711.5143385903143
9,1,1664.0395983976814
9,2,1691.9642703562447
9,3,1784.2777640304719
9,4,1840.2360247601482
9,5,1890.3717325841296
9,6,1757.12450289106
9,7,1866.2931231163882
9,8,1869.8267575635416
9,9,1867.7783220981778
9,10,1770.2128397381202
9,11,1793.200948764959
9,12,1842.8380374195667
9,13,1860.1268327472364
9,14,1965.128635464971
9,15,1915.3136826577609
9,16,1900.1742457135044
9,17,1859.2914707720934
9,18,1872.9150654719808
9,19,1848.482726172659
9,20,1848.2179284173808
9,21,1771.3086694426888
9,22,1752.7078761803732
9,23,1822.7164057288203
