2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
926.183052,846.5052991,956.3103483,971.3739964,986.4376445,1001.501293,1016.564941,1031.628589,1043.742631,1055.856672,1067.970714,1080.084756,1092.198798,1104.312839,1116.426881,1128.540923,1140.654965,1152.769006,1172.366079,1192.296303,1212.56534,1233.178951,1254.142993,1275.463424,1297.146302,1319.197789,1341.624152,1364.431762
927.5686057,847.7716563,957.7409718,972.8271549,987.913338,1002.999521,1018.085704,1033.171887,1046.000498,1058.829109,1071.65772,1084.486331,1097.314941,1110.143552,1122.972163,1135.800774,1148.629385,1161.457996,1181.202782,1201.283229,1221.705044,1242.474029,1263.596088,1285.077221,1306.923534,1329.141234,1351.736635,1374.716158
850.0909091,776.9592175,877.7430461,891.5691146,905.3951832,919.2212517,933.0473202,946.8733887,957.4768591,968.0803296,978.6838,989.2872705,999.890741,1010.494211,1021.097682,1031.701152,1042.304623,1052.908093,1070.807531,1089.011259,1107.52445,1126.352366,1145.500356,1164.973862,1184.778418,1204.919651,1225.403285,1246.235141
821.7473189,751.053972,848.477483,861.842565,875.207647,888.572729,901.937811,915.3028931,926.0912158,936.8795386,947.6678613,958.4561841,969.2445068,980.0328296,990.8211523,1001.609475,1012.397798,1023.186121,1040.580285,1058.270149,1076.260742,1094.557175,1113.164647,1132.088446,1151.333949,1170.906626,1190.812039,1211.055844
786.1443972,718.5139014,811.7164535,824.5024817,837.2885098,850.0745379,862.8605661,875.6465942,886.8896008,898.1326074,909.375614,920.6186206,931.8616272,943.1046338,954.3476404,965.590647,976.8336536,988.0766602,1004.873963,1021.956821,1039.330087,1056.998698,1074.967676,1093.242127,1111.827243,1130.728306,1149.950687,1169.499849
813.6288536,743.6339227,840.0949366,853.3279781,866.5610196,879.7940611,893.0271026,906.260144,916.582572,926.905,937.227428,947.549856,957.8722839,968.1947119,978.5171399,988.8395679,999.1619958,1009.484424,1026.645659,1044.098635,1061.848312,1079.899733,1098.258029,1116.928415,1135.916198,1155.226774,1174.865629,1194.838345
813.0575554,743.1117721,839.5050549,852.7288047,865.9525544,879.1763042,892.4000539,905.6238037,915.6244641,925.6251245,935.6257849,945.6264453,955.6271057,965.6277661,975.6284265,985.6290869,995.6297473,1005.630408,1022.726125,1040.112469,1057.794381,1075.776885,1094.065092,1112.664199,1131.57949,1150.816342,1170.380219,1190.276683
807.2351767,737.7902816,833.4932833,846.6223366,859.7513899,872.8804432,886.0094965,899.1385498,910.096344,921.0541382,932.0119324,942.9697266,953.9275208,964.8853149,975.8431091,986.8009033,997.7586975,1008.716492,1025.864672,1043.304371,1061.040546,1079.078235,1097.422565,1116.078749,1135.052087,1154.347973,1173.971888,1193.929411
794.9892022,726.5978048,820.8489663,833.7788483,846.7087304,859.6386124,872.5684944,885.4983765,896.315769,907.1331616,917.9505542,928.7679468,939.5853394,950.4027319,961.2201245,972.0375171,982.8549097,993.6723022,1010.564731,1027.744332,1045.215985,1062.984657,1081.055396,1099.433338,1118.123705,1137.131808,1156.463049,1176.12292
809.4556989,739.8197765,835.7860356,848.951204,862.1163723,875.2815407,888.4467091,901.6118774,911.5230298,921.4341821,931.3453345,941.2564868,951.1676392,961.0787915,970.9899438,980.9010962,990.8122485,1000.723401,1017.735699,1035.037206,1052.632838,1070.527596,1088.726565,1107.234917,1126.057911,1145.200895,1164.66931,1184.468689
