2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
678.1199022,625.7001375,733.316598,760.9149459,788.5132938,816.1116416,843.7099895,871.3083374,966.5792688,1061.8502,1157.121132,1252.392063,1347.662994,1442.933926,1538.204857,1633.475789,1728.74672,1824.017651,1855.025951,1886.561393,1918.632936,1951.249696,1984.420941,2018.156097,2052.464751,2087.356651,2122.841715,2158.930024
680.4202489,627.8226636,735.8041851,763.4961533,791.1881214,818.8800896,846.5720577,874.2640259,966.9646619,1059.665298,1152.365934,1245.06657,1337.767206,1430.467842,1523.168478,1615.869114,1708.56975,1801.270386,1831.891982,1863.034146,1894.705726,1926.915724,1959.673291,1992.987737,2026.868529,2061.325294,2096.367824,2132.006077
695.5552527,641.7877072,752.1711278,780.4790653,808.7870028,837.0949404,865.4028779,893.7108154,985.2305859,1076.750356,1168.270127,1259.789897,1351.309668,1442.829438,1534.349209,1625.868979,1717.38875,1808.908521,1839.659965,1870.934185,1902.740066,1935.086647,1967.98312,2001.438833,2035.463293,2070.066169,2105.257294,2141.046668
674.4893581,622.3502403,729.3905397,756.8411305,784.2917213,811.7423121,839.1929029,866.6434937,940.931344,1015.219194,1089.507045,1163.794895,1238.082745,1312.370596,1386.658446,1460.946296,1535.234147,1609.521997,1636.883871,1664.710897,1693.010982,1721.792169,1751.062636,1780.8307,1811.104822,1841.893604,1873.205796,1905.050294
659.7793764,608.7773639,713.4832146,740.3351337,767.1870528,794.0389719,820.890891,847.7428101,936.4822937,1025.221777,1113.961261,1202.700745,1291.440228,1380.179712,1468.919196,1557.658679,1646.398163,1735.137646,1764.634986,1794.633781,1825.142556,1856.169979,1887.724869,1919.816191,1952.453067,1985.644769,2019.40073,2053.730542
706.866853,652.2249025,764.4034546,793.1717554,821.9400561,850.7083569,879.4766577,908.2449585,1029.325348,1150.405737,1271.486127,1392.566516,1513.646906,1634.727295,1755.807684,1876.888074,1997.968463,2119.048853,2155.072683,2191.708919,2228.96797,2266.860426,2305.397053,2344.588803,2384.446813,2424.982408,2466.207109,2508.13263
692.1794824,638.6728894,748.520581,776.6911304,804.8616797,833.032229,861.2027783,889.3733276,1020.236525,1151.099722,1281.962919,1412.826116,1543.689313,1674.55251,1805.415707,1936.278904,2067.142101,2198.005298,2235.371388,2273.372702,2312.020037,2351.324378,2391.296892,2431.94894,2473.292072,2515.338037,2558.098783,2601.586463
694.4566194,640.774,750.9830694,779.2462944,807.5095194,835.7727444,864.0359693,892.2991943,1006.605759,1120.912324,1235.218889,1349.525454,1463.832019,1578.138584,1692.445149,1806.751714,1921.058279,2035.364844,2069.966046,2105.155469,2140.943112,2177.339145,2214.35391,2251.997927,2290.281891,2329.216684,2368.813367,2409.083194
596.4871915,550.3777673,645.0392572,669.31529,693.5913229,717.8673557,742.1433885,766.4194214,838.104574,909.7897266,981.4748792,1053.160032,1124.845184,1196.530337,1268.21549,1339.900642,1411.585795,1483.270947,1508.486553,1534.130825,1560.211049,1586.734637,1613.709125,1641.142181,1669.041598,1697.415305,1726.271365,1755.617978
556.6567465,513.62628,601.9667469,624.6217471,647.2767474,669.9317476,692.5867478,715.241748,773.9481213,832.6544946,891.3608679,950.0672412,1008.773615,1067.479988,1126.186361,1184.892734,1243.599108,1302.305481,1324.444674,1346.960234,1369.858558,1393.146153,1416.829638,1440.915741,1465.411309,1490.323301,1515.658797,1541.424997
