,year,scenario_price,period,weight,hour,Load Profile,price
3552,2030,mid,1,11.142857142857142,24,1344.010692216348,784.5282308222743
3553,2030,mid,1,11.142857142857142,25,1330.3240723995116,748.0969271860691
3554,2030,mid,1,11.142857142857142,26,1292.104104432615,524.2385031373682
3555,2030,mid,1,11.142857142857142,27,1274.5749771803705,495.1275387105368
3556,2030,mid,1,11.142857142857142,28,1298.1617259325092,726.8904396006842
3557,2030,mid,1,11.142857142857142,29,1340.9594902376757,936.227544943463
3558,2030,mid,1,11.142857142857142,30,1361.2356092798464,1369.2372801657912
3559,2030,mid,1,11.142857142857142,31,1400.5233011809992,1779.6319963558894
3560,2030,mid,1,11.142857142857142,32,1525.7563026378732,1842.8592662701412
3561,2030,mid,1,11.142857142857142,33,1541.3619445460458,1733.0396836393456
3562,2030,mid,1,11.142857142857142,34,1507.2209014723699,1576.4679862665023
3563,2030,mid,1,11.142857142857142,35,1483.6974505465184,1536.2445201387043
3564,2030,mid,1,11.142857142857142,36,1564.6110736836467,1278.6568925930374
3565,2030,mid,1,11.142857142857142,37,1606.5815012277553,1353.1865938092749
3566,2030,mid,1,11.142857142857142,38,1690.5748038358452,1441.395482962392
3567,2030,mid,1,11.142857142857142,39,1711.310470987446,1360.714708440971
3568,2030,mid,1,11.142857142857142,40,1646.3181845935303,1289.8135951920865
3569,2030,mid,1,11.142857142857142,41,1551.9805778751788,1315.5593651262686
3570,2030,mid,1,11.142857142857142,42,1494.4846303056968,1296.8886639322689
3571,2030,mid,1,11.142857142857142,43,1420.3641547940742,1251.9788844282511
3572,2030,mid,1,11.142857142857142,44,1369.8748808123912,954.3672720495513
3573,2030,mid,1,11.142857142857142,45,1334.7204424784907,884.7234151959589
3574,2030,mid,1,11.142857142857142,46,1284.963800971329,879.5783251634331
3575,2030,mid,1,11.142857142857142,47,1161.5819835626485,861.2328913542817
3576,2030,mid,1,11.142857142857142,48,1203.775994481416,851.2403910268137
3577,2030,mid,1,11.142857142857142,49,1185.1100156862524,831.5899211963807
3578,2030,mid,1,11.142857142857142,50,1126.9372616182955,609.5427103858223
3579,2030,mid,1,11.142857142857142,51,1259.462855211916,630.1064219030964
3580,2030,mid,1,11.142857142857142,52,1250.9138404384262,805.0335796014664
3581,2030,mid,1,11.142857142857142,53,1268.174710741887,1011.5375834011869
3582,2030,mid,1,11.142857142857142,54,1302.3300388231016,1549.267445650987
3583,2030,mid,1,11.142857142857142,55,1347.0141669436546,2216.3094971189084
3584,2030,mid,1,11.142857142857142,56,1459.0507315789673,1903.7528102539518
3585,2030,mid,1,11.142857142857142,57,1478.4472729802142,1753.9965732972134
